NNT,NumSujet,Auteurs,Titre FR,Titre EN,Directeurs,Discipline,Date de soutenance,Date de première inscription,Etablissement de soutenance,Code etablissement,Etablissement de cotutelle,Ecoles doctorales,Partenaires de recherche,Président du jury,Rapporteurs,Examinateurs,Mots clés FR,Mots clés EN,Langue,Source,Statut,Accessible,Abstract_EN
2008NICE0047,,"Nguyen Quoc, Ha (132317745)",Comment améliorer la gouvernance du développement au Vietnam?,How to improve the governance of development in Vietnam,"Berthomieu, Claude (050540289)",Sciences économiques,01/01/2008,,Nice (026403498),NICE,,,Centre d'Etudes en Macroéconomie et Finance Internationale (Nice) (034461736),,,,Conditions économiques || Vietnam || Modèles économétriques || Théorie des jeux,,fr,sudoc,soutenue,non,"The main aim of this thesis is to show how to improve the governance of development in Vietnam. The unique history and specifics characteristics of Vietnam require a mix strategy of the ""good governance"" and the ""growth-enhancing governance"". First, in order its economic takeoff succeeds, it must acquire the ""governance capabilities"" and implement the business regulation reforms and the natural monopolies reforms in order to promote the opening of a social regulation system. Then, the catching-up process aimes at formalizing and enforcing the rules. This process includes the government effectiveness , the control of corruption, the endogenous development of regulatory institutions and the deepening of democracy. Using a panel data based on a sample that includes 15 countries that have similar characteristics with Vietnam, our econometric study confirms the positive relationship between growth and institutional aspects like democracy, regulatory quality, political stability and absence of violence."
2008PA030108,,"Doan, Quynh Chi (133790533)","L'Etat et le secteur privé dans le développement de l'industrie : une comparaison de la Corée du Sud (1961-1979), de la Thaïlande (1957-1979) et du Vietnam (1986-2005) avec une application au secteur automobile","The State and the private sector in the industrial developement : a comparison between South-Korea (1961-79), Thailand (1957-79) and Vietnam (1986-2005) with an application to the automotive industry","Richet, Xavier (028264924)",Sciences économiques,01/01/2008,,Paris 3 (027361837),PA03,,,,,,,"Automobiles -- Industrie et commerce || 1945-.... || Vietnam || Thaïlande || 1945-1990 || Corée (République) || Politique industrielle || Structuralisme, institutionnalisme, Corée du Sud, Thaïlande, Vietnam, industrie automobile",,fr,sudoc,soutenue,non,"With a comparative method and by using the structuralist and the institutionalist approaches, this thesis aims at doing a analysis of the role of the State in the industrial development of South-Korea (1961-79), Thailand (1957-79) and Vietnam (1986-2005), with the purpose of comparing the Vietnam to the two other countries. The State in Korea is a hard State which governs the market. The State has a relation of isolation with connection with the private sector. In Thaïland, the State is not hard and the relation is interdependant. In Vietnam, the organization of the State is less centralised and the Politic Bureau leads the economy to the market while it keeps the socialist ideology. The State and the private sector have a relation of isolation without connection. By analysing the automotive industry, we conclude that these three models of State lead to three degrees of development of the automotive industry."
2006PA100162,,"Jammes, Jérémy (09818153X)","Le caodaïsme : rituels médiumniques, oracles et exégèses : approche ethnologique d’un mouvement religieux vietnamien et de ses réseaux","Caodaism : mediumistic rituals, oracles and exegesis : an ethnological approach of a religious Vietnamese movement and its networks","Formoso, Bernard (029018188)",Ethnologie,01/01/2006,,Paris 10 (026403587),PA10,,,,,,,Ethnologie -- Vietnam || Médiums || Médiumnité || Vietnam || Caodaïsme,,fr,sudoc,soutenue,non,"Appeared in the 1920’s, in Cochinchina, Caodaism, a religious movement has had political issues in the south of Vietnam. This ethnological study considers a diachronic and synchretic reading of this movement’s keystone : the spirit-mediumship. Indeed, through this way of communication with the spirits, through the textual production that frames it like oracles and exegesis, and through its mediumnistic connections, the researcher can relate the genesis of Caodaism as well as its identity means in the current Socialist Republic of Vietnam. My analysis compare the characteristics of the Holy See of Tây Ninh with ones of a missionary organization called Cơ Quan Phổ Thông Giáo Lý Đại Đạo. My approach indicates how this organization displays a current dynamic in Vietnam and overseas through the choice of a consensus with the local authorities, in order to open a school, to publish exegesis or to practice a mediumistic meditation."
2012ROUED005,,"Nguyen, Thi Viet Ha (199714428)",L'exécution des sentences arbitrales internationales (comparaisons franco-vietnamiennes),,"Legros, Cécile (15775992X) || Quy, Mai Hong (193999684)",Droit de l'arbitrage,01/01/2012,,Rouen (026403919),ROUE,,École doctorale Droit-Normandie (Caen) (175264651),,,"Train, François-Xavier (073308293) || Seraglini, Christophe (055749062)","Loquin, Éric (02699416X)",Vietnam || France || Arbitrage (droit) || Jugements étrangers || Arbitrage international,,fr,sudoc,soutenue,non,"Arbitration becomes one of the most frequent method for dispute resolution. Thus, the enforcement of arbitration awards is critical because international arbitration would lose its meaning if arbitration awards were not implemented. France and Vietnam are both state parties to the New York convention. However, their enforcement procedures are very different. Althouth he grounds for refusal of enforcement are similar, the emplementation of these patterns is not the same. This study focuses on the enforcement of internatinal arbitral awards in France and in Vietnam at all stages from the filling of the application to the handling of the application by the juge. On the one hand this study aimes to present the differences of the enforcement of arbitration awards under French and Vietnamese laws. On the otehr hand recommendations are suggested to create a unified legal framework for investment and arbitration in Vietnam."
1986PA111002,,"TJIPTOHARTONO, SUHARSONO.",La question du kampuchea impact regional et perspectives de reglement,The question of kampuchea regional impact and prospect of solution,"Zorgbibe, Charles (027204421)",Science politique,01/01/1986,,Paris 11 (026404664),PA11,,,,,,,Science politique,,fr,sudoc,soutenue,non,"Unseparated from the rivalry of the communists great powers in the region, the question of kampuchea rests to be a potential source of instability in southeast asia. With the firm support from the soviet union and with the vietnam's formidable military strength eventual military solution by expeditionary force would be risking of a wider conflict. The asean countries should play a role of catalyst for regional reconciliation and to loose the vietnam's dependence on the external powers in conflict. However, the ""china factor"", raised by washington's china policy based principally on anti-soviet strategic consensus, forged by the economic appeal of the chinese modernization, obstructs these countries efforts in persuading the vietnamese leaders to engage in serious negociations for the eventual retreat of their forces from kampuchea so as to permit the national reconcilitaion of the people of kampuchea."
2002TOUR3314,,"Truong, Thi Xuan Lien (073977004)",Recherche d'éléments déterminants de l'infection par le VIH-1 au Vietnam,Research on determinant elements of HIV-1 infection in Vietnam,"Barré-Sinoussi, Françoise (073523429)",Sciences de la vie,01/01/2002,,Tours (026404478),TOUR,,,,,,,Vietnam || Immunologie || VIH (virus) || Immunité innée || Vietnam || VIH-1 (Virus de l'Immunodéficience Humaine de type 1),,fr,sudoc,soutenue,non,
2017USPCC278,,"Rouquet, Camille (236890050)",Les icônes du Vietnam et leur pouvoir : mécanismes de consécration des images photojournalistiques et rhétorique de l'influence des médias depuis la guerre du Vietnam,The icons of Vietnam and their power : the systems of consecration of photojournalistic images and the rhetoric of media influence since the Vietnam War,"Brunet, François (034647155)",Langues et littératures étrangères. Langue et cultures des sociétés anglophones,08/12/2017,,Sorbonne Paris Cité (19077990X),USPC,,"École doctorale Histoire, langue, littérature et images : civilisations et sciences humaines et sociales (domaines francophones, anglophones et d'Asie orientale) (Paris ; 1992-....) (165115467)","Laboratoire de recherches sur les cultures anglophones (Paris ; 2014-2024) (124360114), Université Paris Diderot - Paris 7 (1970-2019) (027542084)","Chouard, Géraldine (093830785)","Lavoie, Vincent (034273344) || Rolland-Diamond, Caroline (101884419)","Brunet, François (034647155) || Chouard, Géraldine (093830785) || Lavoie, Vincent (034273344) || Kempf, Jean (032081103) || Gunthert, André (026910608)",Sémiotique et photographie || Médias et opinion publique || Sensationnalisme dans la presse || Historiographie || Photographie || Guerre du Vietnam (1961-1975) || Photographie et politique || Photographie de guerre || Histoire || Vietnam || Photographie de presse || Photographies iconiques || Mouvement anti-guerre || Culture visuelle,Iconic press photograghs || Antiwar movement || Visual culture,fr,star,soutenue,non,"This dissertation focuses on those press photographs from the Vietnam war considered to be “iconic”. In recenthistory, only about 30 or 40 photographs, whether documentary, art, or fashion images, have been consecrated as“icons”, a word that denotes their capacity to symbolize or embody various concepts. Among these images, fourhave surfaced from the visual archive of the Vietnam War. These icons are photojournalistic images whose contentwas considered shocking because of their sensational and graphic nature and which have appeared consistently inthe press since the end of the war and remediated in various artistic fields. Their fame has caused thehistoriographers of the Vietnam War and the public to think of them as influential objects; they have been credited with, or blamed for, turning public opinion against the war or for causing the ultimate defeat of American forces.This dissertation examines closely the relationship between “icon” and “influence” by way of a review of thehistoriography of the media during the Vietnam War and, afterwards, through its memorialization. Even thoughthe notion of influence is refuted by some experts in very precise and well-documented case studies, it remains anintegral part of the definition of photojournalistic icons of media content today. This essay exposes in detail theunique characteristics of the Vietnam icons and their progress in the press from the 1970s to the 2000s so as toexplain how these images have become representative of the influence theory, and to what extent media discoursehas contributed to educating the public by using icons. The aim of this essay is to show that icons have truly unique compositions and are fully meta-photojournalistic objects that testify to the media’s attachment to their adaptability and familiarity. The American public is no longer the only recipient of their symbolism ; icons—from Vietnam andfrom other contexts—have now reached an international status. Consequently, in contemporary times, icons contribute to problematizing and theorizing studies in visual culture."
2015PESC0058,,"Lam, Quoc Dat (193999064)",L'efficacité énergétique et carbone des différentes formes de distribution au Viêt-Nam et une comparaison en France,Energy and carbon efficiency of different forms of distribution in Vietnam and a comparison with France,"Rizet, Christophe (084539755)",Sciences économiques,21/12/2015,,Paris Est (190456396),PESC,École Supérieure de Transport et de Communication de Hanoi (ESTC) (Hanoï) (152801456),"École doctorale Organisations, marchés, institutions (Créteil ; 2010-) (174788525)",Dynamiques Economiques et Sociales des Transports (1985-2017 ; Marne-la-Vallée) (034996079),"Madre, Jean-Loup (034981314)","Cornelis, Eric (178139971) || Kilani, Moez (12972419X)","Rizet, Christophe (084539755)",Logistique (gestion) || Vietnam || France || Transport -- Économies d'énergie || Économie des transports || Consommation d'énergie || Émision de CO2 || Comparaison Vietnam-France || Distribution || Chaînes logistiques,Transport Economics || Energy consumption || CO2 Emissions || Comparison Vietnam-France || Distribution || Supply chains,fr,star,soutenue,oui,"Anthropic Greenhouse Gas Emissions (GHG), when concentrating in the atmosphere, cause climate change. The increase in greenhouse gases, including CO2 emissions in transport activity in general and freight transport in particular of contribute to global warming. Transportation is responsible for an increasing part of these emissions, mainly road transport and within transport; the share of goods (about one third) is increasing. Currently, a large and growing share of freight transport is organized by a few large retailers seeking to control logistics flows even further upstream and to organize theses flows for their own benefit.The main aim of the thesis is a contribution to a better understanding of energy consumption and carbon (CO2) emissions in the transportation of goods. For this, the thesis analyzes the energy and carbon efficiencies of various forms of supply chains implemented by major retailers in Vietnam and compares them with the corresponding supply chains in France. Hanoi is a very fast developing city since the opening of the economy in 1986. The economic development has drawn increasing population in the dense major urban areas, the motorization of transport and dramatic changes in the distribution and in the supply chains organization.The starting point of the thesis is a research result on quantifying energy and GHG emissions from supply chains in France and in Europe. We conducted surveys on the corresponding supply chains of Vietnamese distributions to obtain comparable data and quantify the energy consumption and emissions of CO2 by applying the quantification method used in France. This allows us to compare the energy and carbon efficiency of different forms of retail outlets in the cases studied of yoghurt and blue jeans between Vietnam and France.A survey was conducted face to face with the operators (producers, transporters, distributors) and a Web survey with consumers (in shopping trips) in Vietnam have bought these products in these retail outlets. Using the information collected in Hanoi, we describe the supply chains of yoghurt and jeans in Vietnam from the raw material up to the consumer's home. The differences between types of distribution or supply chains, relate in particular to the type of retail outlets: a shop can belong to the producer in Vietnam, a retailer in France or an independent shop and the supermarket and hypermarket to major distributors.Through these analyzes, we answer the following questions: What are the most efficient logistic organizations for energy and CO2 emissions of retail outlets? Energy consumptions in this analysis are diesel, gasoline, electricity and sometimes gas. For these different energies, we use the emission factors of the ‘CO2 in transport services Information Guide’ (ADEME 2012) and for electricity in Vietnam, the emission factor published by the Ministry of Natural Resource and Environment of Vietnam (2010)."
2016LYSE3015,,"Nguyen, Anh Thu (19715168X)",La diplomatie culturelle du Vietnam : instrument au service de l'intégration internationale,Cultural diplomacy of Vietnam : instrument serving international integration,"Ramel, Frédéric (056519907)",Science politique,27/05/2016,,Lyon (190915757),LYSE,,Ecole doctorale de Sciences Sociales (Lyon),Université Jean Moulin (Lyon ; 1973-....) (026404494),,"Allès, Delphine (096160446) || Journoud, Pierre (078011043)","Allès, Delphine (096160446) || Journoud, Pierre (078011043) || Coulibaly Leroy, Sandra (197112323) || Garro, Olivier (06966837X)",Relations extérieures -- Vietnam || Relations internationales et culture || Diplomatie || Diplomatie culturelle || Vietnam || Institute for cultural diplomacy (ICD) || Nation Brand Index || Industries culturelles || Patrimoine mondial || Soft power || Organisation internationale de la Francophonie || Unesco || Politique étrangère || Intégration,Cultural diplomacy || Vietnam || Institute for cultural diplomacy (ICD) || Nation Brand Index || Cultural industries || World Heritage || Soft power || Francophonie || Unesco || Foreign policy || Integration,fr,star,soutenue,non,"Filling a gap in studies on cultural diplomacy of the emerging countries, this thesis constitutes of a quantitative and qualitative analysis of the Vietnamese cultural diplomacy. This is an integral part of foreign policy in order to ensure international integration of the country and also for socio-economic development. The primary objective of this strategy, recognized as one of the three pillars of Vietnamese diplomacy with economy and politics, is to present Vietnam to the worldwide in order to attract investment. Thus, it is a “marketing” tool for the country. The secular history against foreign invasions, a determination to preserve the cultural identity and the nature of the political regime are the specific features of this strategy, articulating diplomacies of the Communist party, the government and the Vietnamese people. The element “state” is essential in the formulation of this policy. The observation of practices and the results of our evaluation show that this diplomacy focuses on event activities while seconding structural project (education and information). Its implementation is a challenge for the government, due to a lack of effective coordination on the one hand, but also a concept of “culture” attached to the ideology on the other. UNESCO is the main partner of Vietnam because inclusion in the World Heritage sites remains one of the major subjects of the Vietnamese cultural diplomacy, contributing to the development of tourism. La Francophonie has its specific expertise especially in cultural diversity but Vietnam has not benefited from that yet. If UNESCO is a forum where Vietnam could arise in the international community, OIF, with the economic issue and the promotion of French, would serve as a place to promote influence of Vietnam in the South-East Asia."
2006TOU10011,,"Nguyen, Thi Thu Trang (109267389)",Le référendum dans le monde et son avenir au Vietnam,Referendum in the world and its future in Vietnam,"Crouzatier, Jean-Marie (028815726)",Droit public,01/01/2006,,Toulouse 1 (026404354),TOU1,,,,,,,Vietnam || Référendum,,fr,sudoc,soutenue,non,"Referendum, a popular voting procedure (confined in this study to national ones), is an exceptional political institution : a suspect semi-direct democracy instrument integrated in deeply-rooted representative democraties. It constitutes an enigma to Vietnam, socialist country who looks forward to self-democratising, particulary by means of this institution. The country has to find out keys to these hard queries : Is the referendum desirable ? Is it possible to introduce the institution into a system without a democratic tradition or respective ideological foundation ? How to concretely organize it ? The answers are to be sought, on one hand, in referendum procedures and practices as they are utilized, codified and observed around the world, and on the other hand, in the particular circumstances of Vietnam. The conclusions drawn from this study are globally positive despite of ambivalent phenomenon observed. The institution is desirable, with its democratic contributions ; but it needs de jure safeguard measures to self-protect against deviations. The institution is also hopeful in Vietnam, especially as means to facilitate the opening of the system and the education of citizens. The institution can be installed in a new system independently of any democratic or ideological tradition ; yet de facto determined wills of political actors, both leaders and citizens are unquestionably required. Vietnam is not deprived of those wills. It remains to figure out an appopriate model of referendum for this country out of a diversity of presented ones ; a simple question of choice, but important indeed."
